"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2010","CP056","Goods and services for routine household maintenance","Current prices, million euro","European Union - 27 countries (from 2019)","99,837.7",""
"2010","CP056","Goods and services for routine household maintenance","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","99,837.7",""
"2010","CP06","Health","Percentage of total","European Union - 27 countries (from 2019)","4.1",""
"2010","CP06","Health","Current prices, million euro","European Union - 27 countries (from 2019)","246,878.4",""
"2010","CP06","Health","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","246,878.4",""
"2010","CP061","Medical products, appliances and equipment","Percentage of total","European Union - 27 countries (from 2019)","1.6",""
"2010","CP061","Medical products, appliances and equipment","Current prices, million euro","European Union - 27 countries (from 2019)","98,029.5",""
"2010","CP061","Medical products, appliances and equipment","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","98,029.5",""
"2010","CP062","Out-patient services","Percentage of total","European Union - 27 countries (from 2019)","1.8",""
"2010","CP062","Out-patient services","Current prices, million euro","European Union - 27 countries (from 2019)","106,367.0",""
"2010","CP062","Out-patient services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","106,367.0",""
